lat,lon,temp_c,basement
40.7616,-123.1936,244.4,
39.8842,-122.9191,244.4,
39.7589,-113.3092,244.4,
42.203,-123.88,244.3,
36.3747,-116.8786,244.3,
37.8788,-118.8005,244.2,
41.075,-121.9581,244.1,
40.8869,-121.8208,244.1,
44.7725,-110.8381,244.1,
45.7753,-124.0173,244.1,
42.5164,-120.7225,244.1,
38.0668,-118.6633,244.1,
41.639,-118.8005,244.0,
34.4945,-115.7803,244.0,
40.1349,-124.0173,243.9,
42.579,-117.565,243.9,
33.7425,-115.5057,243.9,
44.0831,-112.3482,243.9,
44.2085,-110.1517,243.9,
41.9523,-123.88,243.8,
43.3938,-111.6618,243.8,
44.7099,-111.25,243.7,
37.1894,-122.2326,243.6,
39.8215,-118.9378,243.6,
42.6417,-116.0549,243.6,
43.2058,-115.3685,243.6,
37.8788,-118.526,243.5,
41.5136,-118.2514,243.5,
37.3147,-117.565,243.4,
41.2003,-122.2326,243.4,
42.579,-120.8598,243.4,
39.1322,-106.445,243.4,
42.579,-122.2326,243.3,
42.015,-114.682,243.3,
40.8243,-120.8598,243.2,
40.5109,-122.6445,243.2,
43.5191,-115.5057,243.2,
33.6172,-106.445,243.2,
41.7643,-117.7023,243.1,
33.8678,-106.7196,243.1,
43.3311,-120.8598,243.1,
43.8325,-113.9956,243.1,
35.936,-106.3078,243.0,
44.3338,-112.0737,242.9,
38.5681,-111.7991,242.9,
40.7616,-122.9191,242.9,
43.6444,-110.8381,242.9,
37.4401,-116.4667,242.8,
41.451,-120.8598,242.8,
41.1376,-119.0751,242.8,
35.6853,-106.3078,242.8,
42.1404,-122.6445,242.7,
36.876,-117.4277,242.7,
38.1921,-112.0737,242.7,
43.1431,-111.9364,242.7,
39.3202,-123.6055,242.6,
41.7643,-122.6445,242.6,
44.1458,-117.4277,242.6,
42.0777,-119.2124,242.5,
39.3828,-118.526,242.5,
44.0205,-111.9364,242.5,
43.0804,-121.1344,242.4,
33.5545,-115.9176,242.4,
36.1866,-106.3078,242.4,
40.8869,-120.7225,242.4,
36.7507,-117.4277,242.4,
41.7643,-114.9566,242.4,
41.451,-113.9956,242.4,
43.8951,-111.9364,242.4,
43.4564,-122.7818,242.3,
40.0722,-117.8396,242.3,
35.6853,-116.4667,242.3,
42.579,-121.9581,242.3,
43.5818,-120.8598,242.3,
43.8325,-110.9754,242.3,
46.6526,-124.0173,242.2,
43.2684,-117.4277,242.2,
42.7671,-116.0549,242.2,
39.1948,-112.8974,242.2,
44.2085,-112.3482,242.2,
45.0859,-122.7818,242.1,
38.5681,-118.6633,242.1,
41.827,-118.6633,242.1,
43.5818,-111.7991,242.1,
39.2575,-122.9191,242.0,
34.3065,-115.9176,242.0,
39.8842,-123.4682,241.9,
41.7643,-120.7225,241.9,
40.4482,-120.8598,241.8,
41.827,-115.643,241.8,
41.827,-117.8396,241.7,
44.7725,-111.3872,241.7,
43.4564,-114.2702,241.6,
43.1431,-120.448,241.5,
44.2085,-111.5245,241.4,
37.252,-122.3699,241.4,
42.391,-122.0954,241.4,
41.0123,-119.0751,241.4,
42.1404,-116.604,241.4,
41.2003,-119.487,241.3,
37.3147,-118.3887,241.3,
42.9551,-113.9956,241.3,
46.7153,-123.88,241.3,
39.4455,-122.5072,241.3,
41.451,-120.3107,241.3,
43.6444,-113.0346,241.3,
43.9578,-112.3482,241.3,
43.9578,-111.7991,241.3,
39.9469,-122.7818,241.2,
42.8297,-120.8598,241.2,
43.1431,-114.682,241.2,
43.3311,-111.7991,241.2,
41.075,-120.8598,241.1,
43.0804,-120.0361,241.1,
42.203,-118.6633,241.1,
32.4264,-106.3078,241.1,
40.0722,-120.0361,241.1,
40.5736,-120.3107,241.0,
38.0041,-118.526,240.9,
40.6363,-122.6445,240.8,
43.8951,-110.5635,240.8,
33.9932,-107.5433,240.8,
38.5055,-118.526,240.8,
33.3665,-117.4277,240.8,
39.3828,-106.9942,240.8,
41.9523,-118.1141,240.7,
42.4537,-123.6055,240.7,
38.1921,-115.9176,240.7,
39.2575,-106.445,240.7,
38.3174,-118.3887,240.6,
33.1785,-115.3685,240.6,
41.9523,-113.9956,240.5,
40.5109,-123.4682,240.4,
38.2548,-122.9191,240.4,
40.0096,-117.7023,240.4,
43.6444,-113.5838,240.3,
40.5109,-120.448,240.3,
39.7589,-120.1734,240.2,
37.3774,-118.2514,240.2,
39.0068,-106.1705,240.2,
40.0096,-123.1936,240.2,
41.5136,-118.8005,240.2,
